iso3,country,emmigrants,year,time_period,indicator
MKD,The Former Yugoslav Republic of Macedonia,172,2000,NA,Number of emigrants - Number
POL,Poland,26999,2000,NA,Number of emigrants - Number
ROU,Romania,14753,2000,NA,Number of emigrants - Number
RUS,Russian Federation,145720,2000,NA,Number of emigrants - Number
SVK,Slovakia,811,2000,NA,Number of emigrants - Number
SVN,Slovenia,3570,2000,NA,Number of emigrants - Number
UKR,Ukraine,100300,2000,NA,Number of emigrants - Number
ARM,Armenia,11906,2001,2001,Number of emigrants - Number
AZE,Azerbaijan,7288,2001,NA,Number of emigrants - Number
KAZ,Kazakhstan,141710,2001,NA,Number of emigrants - Number
KGZ,Kyrgyzstan,31633,2001,NA,Number of emigrants - Number
TJK,Tajikistan,12914,2001,NA,Number of emigrants - Number
TKM,Turkmenistan,9827,2001,NA,Number of emigrants - Number
UZB,Uzbekistan,79537,2001,NA,Number of emigrants - Number
BLR,Belarus,14270,2001,NA,Number of emigrants - Number
CZE,Czech Republic,21469,2001,NA,Number of emigrants - Number
EST,Estonia,2175,2001,NA,Number of emigrants - Number
HRV,Croatia,7488,2001,NA,Number of emigrants - Number
HUN,Hungary,1944,2001,NA,Number of emigrants - Number
LTU,Lithuania,7253,2001,NA,Number of emigrants - Number
LVA,Latvia,24539,2001,NA,Number of emigrants - Number
MDA,Republic of Moldova,6446,2001,NA,Number of emigrants - Number
MKD,The Former Yugoslav Republic of Macedonia,503,2001,NA,Number of emigrants - Number
POL,Poland,23368,2001,NA,Number of emigrants - Number
ROU,Romania,9921,2001,NA,Number of emigrants - Number
RUS,Russian Federation,121166,2001,NA,Number of emigrants - Number
SVK,Slovakia,1011,2001,NA,Number of emigrants - Number
SVN,Slovenia,4811,2001,NA,Number of emigrants - Number
UKR,Ukraine,88800,2001,NA,Number of emigrants - Number
ARM,Armenia,10927,2002,2002,Number of emigrants - Number
AZE,Azerbaijan,4320,2002,NA,Number of emigrants - Number
KAZ,Kazakhstan,120223,2002,NA,Number of emigrants - Number
KGZ,Kyrgyzstan,32717,2002,NA,Number of emigrants - Number
TJK,Tajikistan,12000,2002,NA,Number of emigrants - Number
TKM,Turkmenistan,9048,2002,NA,Number of emigrants - Number
UZB,Uzbekistan,86558,2002,NA,Number of emigrants - Number
BLR,Belarus,13378,2002,NA,Number of emigrants - Number
CZE,Czech Republic,32389,2002,NA,Number of emigrants - Number
EST,Estonia,2038,2002,NA,Number of emigrants - Number
HRV,Croatia,11767,2002,NA,Number of emigrants - Number
HUN,Hungary,2388,2002,NA,Number of emigrants - Number
LTU,Lithuania,7086,2002,NA,Number of emigrants - Number
LVA,Latvia,15837,2002,NA,Number of emigrants - Number
MDA,Republic of Moldova,6592,2002,NA,Number of emigrants - Number
MKD,The Former Yugoslav Republic of Macedonia,141,2002,NA,Number of emigrants - Number
POL,Poland,24532,2002,NA,Number of emigrants - Number
ROU,Romania,8154,2002,NA,Number of emigrants - Number
RUS,Russian Federation,106685,2002,NA,Number of emigrants - Number
SVK,Slovakia,1411,2002,NA,Number of emigrants - Number
SVN,Slovenia,7269,2002,NA,Number of emigrants - Number
UKR,Ukraine,76264,2002,NA,Number of emigrants - Number
ARM,Armenia,9548,2003,2003,Number of emigrants - Number
AZE,Azerbaijan,3754,2003,NA,Number of emigrants - Number
KAZ,Kazakhstan,73890,2003,NA,Number of emigrants - Number
KGZ,Kyrgyzstan,21209,2003,NA,Number of emigrants - Number
TJK,Tajikistan,10187,2003,NA,Number of emigrants - Number
TKM,Turkmenistan,16096,2003,NA,Number of emigrants - Number
UZB,Uzbekistan,95228,2003,NA,Number of emigrants - Number
BLR,Belarus,12986,2003,NA,Number of emigrants - Number
CZE,Czech Republic,34226,2003,NA,Number of emigrants - Number
EST,Estonia,3073,2003,NA,Number of emigrants - Number
HRV,Croatia,6534,2003,NA,Number of emigrants - Number
HUN,Hungary,2553,2003,NA,Number of emigrants - Number
LTU,Lithuania,11032,2003,NA,Number of emigrants - Number
LVA,Latvia,15647,2003,NA,Number of emigrants - Number
MDA,Republic of Moldova,7376,2003,NA,Number of emigrants - Number
