iso3,country,emigrants,year,time_period
KAZ,Kazakhstan,65530,2004,NA
KGZ,Kyrgyzstan,22607,2004,NA
TJK,Tajikistan,7846,2004,NA
TKM,Turkmenistan,9643,2004,NA
UZB,Uzbekistan,95481,2004,NA
BLR,Belarus,12510,2004,NA
CZE,Czech Republic,34818,2004,NA
EST,Estonia,2927,2004,NA
HRV,Croatia,6812,2004,NA
HUN,Hungary,3466,2004,NA
LTU,Lithuania,15165,2004,NA
LVA,Latvia,20167,2004,NA
MDA,Republic of Moldova,7166,2004,NA
MKD,The Former Yugoslav Republic of Macedonia,669,2004,NA
POL,Poland,18877,2004,NA
ROU,Romania,194488,2004,NA
RUS,Russian Federation,79795,2004,NA
SVK,Slovakia,1586,2004,NA
SVN,Slovenia,8269,2004,NA
UKR,Ukraine,46182,2004,NA
ARM,Armenia,9303,2005,2005
AZE,Azerbaijan,2906,2005,NA
KAZ,Kazakhstan,52139,2005,NA
KGZ,Kyrgyzstan,30741,2005,NA
TJK,Tajikistan,7275,2005,NA
TKM,Turkmenistan,8733,2005,NA
UZB,Uzbekistan,104991,2005,NA
BLR,Belarus,11082,2005,NA
CZE,Czech Republic,24065,2005,NA
EST,Estonia,4610,2005,NA
HRV,Croatia,6012,2005,NA
HUN,Hungary,3320,2005,NA
LTU,Lithuania,15571,2005,NA
LVA,Latvia,17643,2005,NA
MDA,Republic of Moldova,6827,2005,NA
MKD,The Former Yugoslav Republic of Macedonia,1300,2005,NA
POL,Poland,22242,2005,NA
ROU,Romania,175297,2005,NA
RUS,Russian Federation,69798,2005,NA
SVK,Slovakia,1873,2005,NA
SVN,Slovenia,8605,2005,NA
UKR,Ukraine,34997,2005,NA
ARM,Armenia,8053,2006,2006
AZE,Azerbaijan,2644,2006,NA
KAZ,Kazakhstan,33690,2006,NA
KGZ,Kyrgyzstan,34423,2006,NA
TJK,Tajikistan,8334,2006,NA
TKM,Turkmenistan,10093,2006,NA
UZB,Uzbekistan,67323,2006,NA
BLR,Belarus,8498,2006,NA
CZE,Czech Republic,33463,2006,NA
EST,Estonia,5527,2006,NA
HRV,Croatia,7692,2006,NA
HUN,Hungary,3956,2006,NA
LTU,Lithuania,12602,2006,NA
LVA,Latvia,17019,2006,NA
MDA,Republic of Moldova,6685,2006,NA
MKD,The Former Yugoslav Republic of Macedonia,1108,2006,NA
POL,Poland,46936,2006,NA
ROU,Romania,188439,2006,NA
RUS,Russian Federation,54061,2006,NA
SVK,Slovakia,1735,2006,NA
SVN,Slovenia,13749,2006,NA
UKR,Ukraine,29982,2006,NA
ARM,Armenia,7461,2007,2007
AZE,Azerbaijan,3083,2007,NA
KAZ,Kazakhstan,42435,2007,NA
KGZ,Kyrgyzstan,54608,2007,NA
TJK,Tajikistan,11414,2007,NA
UZB,Uzbekistan,66207,2007,NA
BGR,Bulgaria,2958,2007,NA
BLR,Belarus,9479,2007,NA
CZE,Czech Republic,20500,2007,NA
EST,Estonia,4384,2007,NA
HRV,Croatia,9002,2007,NA
HUN,Hungary,4133,2007,NA
LTU,Lithuania,13853,2007,NA
LVA,Latvia,15463,2007,NA
MDA,Republic of Moldova,7172,2007,NA
MKD,The Former Yugoslav Republic of Macedonia,240,2007,NA
POL,Poland,35480,2007,NA
ROU,Romania,544074,2007,NA
RUS,Russian Federation,47013,2007,NA
SVK,Slovakia,1831,2007,NA
SVN,Slovenia,14943,2007,NA
UKR,Ukraine,29669,2007,NA
MNE,Montenegro,736,2007,NA
ARM,Armenia,6747,2008,2008
AZE,Azerbaijan,2530,2008,NA
KAZ,Kazakhstan,44813,2008,NA
KGZ,Kyrgyzstan,41287,2008,NA
TJK,Tajikistan,10391,2008,NA
UZB,Uzbekistan,51236,2008,NA
