iso3,country,year,education_classification,unemployment (thousands)
ARM,Armenia,2012,Education (Aggregate levels): Basic,14.7836
ARM,Armenia,2012,Education (Aggregate levels): Intermediate,162.0933
ARM,Armenia,2012,Education (Aggregate levels): Advanced,68.645
ARM,Armenia,2013,Education (Aggregate levels): Total,224.5994
ARM,Armenia,2013,Education (Aggregate levels): Basic,13.4163
ARM,Armenia,2013,Education (Aggregate levels): Intermediate,147.3011
ARM,Armenia,2013,Education (Aggregate levels): Advanced,63.882
ARM,Armenia,2014,Education (Aggregate levels): Total,216.5694
ARM,Armenia,2014,Education (Aggregate levels): Less than basic,NA
ARM,Armenia,2014,Education (Aggregate levels): Basic,14.9908
ARM,Armenia,2014,Education (Aggregate levels): Intermediate,134.0421
ARM,Armenia,2014,Education (Aggregate levels): Advanced,67.3716
ARM,Armenia,2015,Education (Aggregate levels): Total,216.6186
ARM,Armenia,2015,Education (Aggregate levels): Basic,15.3432
ARM,Armenia,2015,Education (Aggregate levels): Intermediate,140.9805
ARM,Armenia,2015,Education (Aggregate levels): Advanced,60.2949
ARM,Armenia,2016,Education (Aggregate levels): Total,215.1637
ARM,Armenia,2016,Education (Aggregate levels): Basic,6.2483
ARM,Armenia,2016,Education (Aggregate levels): Intermediate,151.1733
ARM,Armenia,2016,Education (Aggregate levels): Advanced,57.742
ARM,Armenia,1995,Education (Aggregate levels): Total,131.7
ARM,Armenia,1995,Education (Aggregate levels): Basic,11.4
ARM,Armenia,1995,Education (Aggregate levels): Intermediate,105.5
ARM,Armenia,1995,Education (Aggregate levels): Advanced,14.8
ARM,Armenia,1996,Education (Aggregate levels): Total,159.3
ARM,Armenia,1996,Education (Aggregate levels): Basic,15.1
ARM,Armenia,1996,Education (Aggregate levels): Intermediate,125.4
ARM,Armenia,1996,Education (Aggregate levels): Advanced,18.8
ARM,Armenia,1997,Education (Aggregate levels): Total,174.4
ARM,Armenia,1997,Education (Aggregate levels): Basic,15.4
ARM,Armenia,1997,Education (Aggregate levels): Intermediate,137.3
ARM,Armenia,1997,Education (Aggregate levels): Advanced,21.6
ARM,Armenia,1998,Education (Aggregate levels): Total,133.8
ARM,Armenia,1998,Education (Aggregate levels): Basic,10
ARM,Armenia,1998,Education (Aggregate levels): Intermediate,107.5
ARM,Armenia,1998,Education (Aggregate levels): Advanced,16.3
ARM,Armenia,1999,Education (Aggregate levels): Total,174.9
ARM,Armenia,1999,Education (Aggregate levels): Basic,12.4
ARM,Armenia,1999,Education (Aggregate levels): Intermediate,142.4
ARM,Armenia,1999,Education (Aggregate levels): Advanced,20.1
ARM,Armenia,2000,Education (Aggregate levels): Total,153.9
ARM,Armenia,2000,Education (Aggregate levels): Basic,10.5
ARM,Armenia,2000,Education (Aggregate levels): Intermediate,125
ARM,Armenia,2000,Education (Aggregate levels): Advanced,18.4
ARM,Armenia,2001,Education (Aggregate levels): Total,138.4
ARM,Armenia,2001,Education (Aggregate levels): Basic,8.6
