iso3,country,unemployment_rate,year,indicator,indicator.label,note_source.label
AZE,Azerbaijan,5.63,2010,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 64 for males and 59 for females
AZE,Azerbaijan,5.42,2011,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 64 for males and 59 for females
AZE,Azerbaijan,5.19,2012,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 64 for males and 59 for females
AZE,Azerbaijan,4.97,2013,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 64 for males and 59 for females
AZE,Azerbaijan,4.91,2014,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 64 for males and 59 for females
AZE,Azerbaijan,4.96,2015,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 64 for males and 59 for females
AZE,Azerbaijan,5.04,2016,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 62 for males and 59 for females
AZE,Azerbaijan,4.96,2017,UNE_DEAP_NOC_RT,Unemployment rate (%),Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 62.5 for men and 59.5 for women
AZE,Azerbaijan,4.94,2018,UNE_DEAP_NOC_RT,Unemployment rate (%),Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
BLR,Belarus,2.9,1995,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
BLR,Belarus,4,1996,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
BLR,Belarus,2.8,1997,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
BLR,Belarus,2.3,1998,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
BLR,Belarus,2.1,1999,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
BLR,Belarus,2.1,2000,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
BLR,Belarus,2.3,2001,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
BLR,Belarus,3,2002,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
BLR,Belarus,3.1,2003,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
BLR,Belarus,1.9,2004,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
BLR,Belarus,1.5,2005,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
BLR,Belarus,1.2,2006,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
BLR,Belarus,1,2007,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
BLR,Belarus,0.8,2008,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - minimum age: Nonstandard minimum age | Age coverage - maximum age: Nonstandard maximum age
BLR,Belarus,0.6,2011,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: End of the year | Age coverage - minimum age: 16 years old
BLR,Belarus,0.5,2012,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: End of the year | Age coverage - minimum age: 16 years old
BLR,Belarus,0.5,2013,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: End of the year | Age coverage - minimum age: 16 years old
BLR,Belarus,0.5,2014,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: End of the year | Age coverage - minimum age: 16 years old
BLR,Belarus,1,2015,UNE_DEAP_NOC_RT,Unemployment rate (%),Age coverage - minimum age: 16 years old
BLR,Belarus,5.84,2016,UNE_DEAP_NOC_RT,Unemployment rate (%),Population coverage: Excluding non-permanent residents | Institutional sector coverage: Private sector only | Age coverage - maximum age: 74 years old
BLR,Belarus,5.65,2017,UNE_DEAP_NOC_RT,Unemployment rate (%),Employment definition: Excluding own-use production workers | Population coverage: Excluding non-permanent residents | Institutional sector coverage: Private sector only | Age coverage - maximum age: 74 years old
BLR,Belarus,4.76,2018,UNE_DEAP_NOC_RT,Unemployment rate (%),Employment definition: Excluding own-use production workers | Population coverage: Excluding non-permanent residents | Age coverage - maximum age: 74 years old
BEL,Belgium,9.3395,1995,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BEL,Belgium,9.4828,1996,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BEL,Belgium,8.9558,1997,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BEL,Belgium,9.3225,1998,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BEL,Belgium,8.6486,1999,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BEL,Belgium,6.5864,2000,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BEL,Belgium,6.1775,2001,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BEL,Belgium,6.9095,2002,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BEL,Belgium,7.6796,2003,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BEL,Belgium,7.3634,2004,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BEL,Belgium,8.4402,2005,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BEL,Belgium,8.2459,2006,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BEL,Belgium,7.4579,2007,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BEL,Belgium,6.9756,2008,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BEL,Belgium,7.9076,2009,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BEL,Belgium,8.2925,2010,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BEL,Belgium,7.1396,2011,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BEL,Belgium,7.5417,2012,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BEL,Belgium,8.4253,2013,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BEL,Belgium,8.5227,2014,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BEL,Belgium,8.482,2015,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BEL,Belgium,7.8297,2016,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BEL,Belgium,7.0862,2017,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BEL,Belgium,5.9482,2018,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BIH,Bosnia and Herzegovina,31.1099,2006,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing
BIH,Bosnia and Herzegovina,28.9844,2007,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing
BIH,Bosnia and Herzegovina,23.4053,2008,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing
BIH,Bosnia and Herzegovina,24.0677,2009,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing
BIH,Bosnia and Herzegovina,27.3118,2010,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing
BIH,Bosnia and Herzegovina,27.5819,2011,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing
BIH,Bosnia and Herzegovina,28.0103,2012,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing
BIH,Bosnia and Herzegovina,27.5172,2014,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing
BIH,Bosnia and Herzegovina,18.4002,2018,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: ILO-STATISTICS - Micro data processing
BGR,Bulgaria,11.1,1995,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - maximum age: Nonstandard maximum age
BGR,Bulgaria,12.5,1996,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: December | Age coverage - maximum age: Nonstandard maximum age
BGR,Bulgaria,13.7,1997,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: June
BGR,Bulgaria,12.2,1998,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: June
BGR,Bulgaria,14.1,1999,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: June
BGR,Bulgaria,16.2176,2000,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BGR,Bulgaria,19.9208,2001,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BGR,Bulgaria,18.1095,2002,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BGR,Bulgaria,13.7326,2003,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BGR,Bulgaria,12.0371,2004,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BGR,Bulgaria,10.0826,2005,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BGR,Bulgaria,8.9507,2006,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BGR,Bulgaria,6.8777,2007,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BGR,Bulgaria,5.6095,2008,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BGR,Bulgaria,6.8166,2009,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BGR,Bulgaria,10.2794,2010,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BGR,Bulgaria,11.2596,2011,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BGR,Bulgaria,12.2699,2012,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BGR,Bulgaria,12.9408,2013,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BGR,Bulgaria,11.4238,2014,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BGR,Bulgaria,9.1433,2015,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BGR,Bulgaria,7.5746,2016,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BGR,Bulgaria,6.1644,2017,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
BGR,Bulgaria,5.2114,2018,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
HRV,Croatia,20.43,2001,UNE_DEAP_NOC_RT,Unemployment rate (%),Data reference period: March
HRV,Croatia,15.0526,2002,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
HRV,Croatia,13.9238,2003,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
HRV,Croatia,13.664,2004,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
HRV,Croatia,12.5978,2005,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
HRV,Croatia,11.1296,2006,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
HRV,Croatia,9.9093,2007,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
HRV,Croatia,8.5303,2008,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
HRV,Croatia,9.2021,2009,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
HRV,Croatia,11.6203,2010,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
HRV,Croatia,13.678,2011,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
HRV,Croatia,15.9346,2012,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
HRV,Croatia,17.2511,2013,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
HRV,Croatia,17.2897,2014,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
HRV,Croatia,16.1752,2015,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
HRV,Croatia,13.1034,2016,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
HRV,Croatia,11.2081,2017,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
HRV,Croatia,8.4322,2018,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
CYP,Cyprus,2.6,1995,UNE_DEAP_NOC_RT,Unemployment rate (%),Geographical coverage: Nonstandard geographical coverage
CYP,Cyprus,3.1,1996,UNE_DEAP_NOC_RT,Unemployment rate (%),Geographical coverage: Nonstandard geographical coverage
CYP,Cyprus,3.4,1997,UNE_DEAP_NOC_RT,Unemployment rate (%),Geographical coverage: Nonstandard geographical coverage
CYP,Cyprus,3.3,1998,UNE_DEAP_NOC_RT,Unemployment rate (%),Geographical coverage: Nonstandard geographical coverage
CYP,Cyprus,5.7,1999,UNE_DEAP_NOC_RT,Unemployment rate (%),Geographical coverage: Government controlled areas
CYP,Cyprus,4.9675,2000,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
CYP,Cyprus,3.984,2001,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
CYP,Cyprus,3.2985,2002,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
CYP,Cyprus,4.1351,2003,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
CYP,Cyprus,4.3333,2004,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
CYP,Cyprus,5.3037,2005,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
CYP,Cyprus,4.5429,2006,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
CYP,Cyprus,3.922,2007,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
CYP,Cyprus,3.6547,2008,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
CYP,Cyprus,5.3639,2009,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
CYP,Cyprus,6.2628,2010,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
CYP,Cyprus,7.8561,2011,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
CYP,Cyprus,11.7952,2012,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
CYP,Cyprus,15.8707,2013,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
CYP,Cyprus,16.088,2014,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
CYP,Cyprus,14.9084,2015,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
CYP,Cyprus,12.9498,2016,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
CYP,Cyprus,11.0515,2017,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
CYP,Cyprus,8.3697,2018,UNE_DEAP_NOC_RT,Unemployment rate (%),Repository: Eurostat special tabulation
