"Male","Serious assault","Victims of crime","Latvia",..,10944,11773,10913,10915,..,..,..,..,..,..,..,..,..,136,132,140,95,..,86
"Male","Serious assault","Victims of crime","Lithuania",..,183,383,345,..,..,351,299,251,200,202,183,216,181,152,199,196,208,150,175
"Male","Serious assault","Victims of crime","Luxembourg",..,..,..,401,486,472,506,465,529,..,..,..,..,..,..,..,..,..,..,..
"Male","Serious assault","Victims of crime","Malta",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Male","Serious assault","Victims of crime","Netherlands",..,..,..,..,..,..,..,34361,36032,36790,34229,26479,25112,..,..,..,..,..,..,..
"Male","Serious assault","Victims of crime","North Macedonia",..,..,..,..,..,..,..,..,263,..,..,..,..,..,..,..,..,..,..,..
"Male","Serious assault","Victims of crime","Norway",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Male","Serious assault","Victims of crime","Poland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Male","Serious assault","Victims of crime","Portugal",..,1020,260,370,351,470,463,465,..,..,..,..,..,..,..,..,..,..,..,..
"Male","Serious assault","Victims of crime","Republic of Moldova",..,..,376,335,327,345,293,323,346,333,322,299,266,291,284,286,262,235,142,145
"Male","Serious assault","Victims of crime","Romania",..,..,..,..,..,666,499,516,469,511,398,424,460,..,..,..,..,..,..,..
"Male","Serious assault","Victims of crime","Russian Federation",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Male","Serious assault","Victims of crime","Serbia",..,..,..,..,..,..,..,..,..,748,734,674,346,530,524,554,564,493,504,468
"Male","Serious assault","Victims of crime","Slovakia",..,..,..,..,..,..,..,2941,2340,2253,2027,2060,1944,2264,1684,1562,1493,1426,1246,1250
"Male","Serious assault","Victims of crime","Slovenia",..,391,363,333,340,270,276,251,221,227,182,161,170,154,184,139,152,134,119,123
"Male","Serious assault","Victims of crime","Spain",..,..,8620,8585,9317,8866,10069,10909,10913,10939,11787,12768,12585,13495,12832,12159,15474,27256,17588,18248
"Male","Serious assault","Victims of crime","Sweden",..,..,..,..,..,..,..,..,..,..,4258,4458,4399,4490,4167,3617,3548,3553,3797,3476
"Male","Serious assault","Victims of crime","Switzerland",..,..,..,..,..,..,..,..,..,..,..,1846,1814,1717,1810,1523,1446,1404,1355,1418
"Male","Serious assault","Victims of crime","Tajikistan",..,..,114,102,93,75,97,97,95,98,86,81,86,78,79,90,118,94,93,114
"Male","Serious assault","Victims of crime","Turkey",..,..,45500,76628,84375,86752,98358,65945,79623,126209,143854,205854,230779,245743,267577,257104,271801,268673,..,..
"Male","Serious assault","Victims of crime","Ukraine",..,..,..,..,4824,5335,4781,4662,4383,4567,4144,3452,3068,2803,2566,2334,2450,1960,1783,1651
"Male","Serious assault","Victims of crime","United Kingdom",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
