"Field of Study","Type of Programme","Sex","Measurement","Country","1990-1991","1995-1996","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018"
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Denmark",142968,174975,190791,195241,201746,217130,232255,228893,232194,230707,234574,240536,258932,275009,291147,301399,313756,314822,312379,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Estonia",25900,39726,57778,60648,63625,65659,67760,68287,68767,68168,68399,68985,69114,67607,64806,59998,55214,51092,47794,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Finland",165714,213995,279628,283805,291664,299888,305996,308966,309163,309648,296691,303554,308336,308924,309009,306080,302478,297163,295528,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","France",1698938,2091688,2031743,2029179,2119149,2160300,2187383,2201201,2179505,2164538,2172855,2245097,2259448,2296306,2338135,2388880,2424158,2480186,2532831,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Georgia",148391,155033,140627,149142,155453,155058,174255,144991,141303,129926,95225,105696,110557,99376,112746,120923,127633,136709,144337,147785
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Germany",2048627,2144169,2083945,2159708,2242397,2330457,2268741,2289465,2278897,2245138,2438600,2555559,2763116,2939463,2780013,2912204,2977781,3043084,3091694,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Greece",283415,329185,478205,529233,561468,597007,646587,653003,602858,637623,..,641844,659848,663698,659284,677429,690868,709488,735027,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Hungary",102387,194607,330549,354386,390453,422177,436012,438702,431572,413715,397679,388950,381927,380757,359040,329455,307729,295328,287018,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Iceland",5225,7483,10184,11584,13347,14710,15169,15721,15821,16631,16919,18051,18845,19099,19097,19901,18940,18590,17967,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Ireland",90296,128284,166600,176296,181557,188315,186084,186044,190349,178518,182609,194009,196321,192647,199428,203912,214632,218411,225031,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Italy",1452286,1775186,1812325,1854200,1913352,1986497,2014998,2029023,2033642,2013856,2011713,1980399,1967569,1925930,1872693,1849159,1826477,1815950,1837051,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Kazakhstan",..,419460,..,..,..,..,..,879623,..,..,..,..,..,824309,781450,727401,658413,..,..,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Kyrgyzstan",102200,94015,190508,209245,201128,205224,220460,233463,239380,271532,266991,260583,258869,270198,284604,267918,265382,249903,255266,217693
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Both sexes","Students","Latvia",..,..,102783,110500,118944,127656,130706,131125,129497,127760,125360,112567,103856,97041,94474,89671,85881,84282,82914,..
