"Field of Study","Type of Programme","Sex","Measurement","Country","1990-1991","1995-1996","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018"
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Hungary",..,..,149489,158532,169090,180424,181355,182223,179819,173931,171775,169169,168595,169435,160915,147452,139894,134833,131312,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Iceland",..,..,3801,4262,4850,5219,5323,5605,5673,5915,6044,6598,7118,7170,7218,7478,7029,6740,6520,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Ireland",..,..,75442,79123,80402,84374,84261,83455,85306,81723,84126,92371,94768,94666,98806,100880,105368,106007,108958,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Italy",..,..,797372,811223,837099,869908,875191,873532,869672,857341,851227,839315,833400,818593,804144,797485,797595,799508,815074,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Kazakhstan",142868,188641,..,..,..,..,..,373360,..,..,..,..,..,365781,346401,324509,293006,..,..,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Kyrgyzstan",..,42712,93728,98370,92408,94356,98632,103601,105090,115640,114571,113553,115839,120457,125804,118300,117556,112255,114335,96812
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Latvia",..,..,39259,42509,45541,48183,48131,48115,46726,45475,45555,41936,40428,39194,38743,38066,34725,34470,34901,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Lithuania",..,..,54587,58841,66997,73078,77912,79711,79844,82107,85908,81720,76738,72753,66446,62214,59663,57688,54699,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Luxembourg",..,..,..,..,..,..,..,..,..,..,..,..,..,..,3228,3302,3380,3409,3468,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Malta",..,..,3354,3128,3852,3470,4122,3833,4176,3988,4500,4733,4998,5353,5592,5692,5828,6259,6364,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Montenegro",..,..,3596,3375,3442,3798,4381,5191,6925,8856,10218,10901,11601,11465,11534,12151,12387,11386,11405,10607
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Netherlands",..,..,249503,251241,258051,266843,276902,278860,282124,291177,297954,313519,375790,385503,327086,341643,401857,402309,417698,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","North Macedonia",..,..,17783,20019,20003,20043,21377,20957,26471,30637,30659,29260,31613,29573,27562,27558,29035,..,27297,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Norway",..,..,77451,79519,85518,86428,86484,86426,85565,83297,85362,88060,91117,95028,105206,111416,113002,116071,118547,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Poland",..,..,745093,802557,836717,867778,900009,914059,915136,918787,905430,877187,834920,805777,764577,716084,682131,655533,634823,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Portugal",..,..,166661,170119,173971,173567,168884,164520,168821,175177,174000,179151,184627,181515,169463,168252,157717,161056,162262,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Republic of Moldova",..,38950,45548,46709,49833,51656,53876,61229,63342,59816,57734,56723,55906,54915,54516,51321,47817,44889,42625,38299
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Romania",101789,167077,247847,265778,294238,310027,335109,372229,407466,461253,480092,435520,383805,322199,284931,267450,250982,246786,244950,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Russian Federation",2340400,..,3165568,3445426,3793508,3804848,4167885,4243924,4323720,4395092,4364482,4310672,4160605,4009640,3870202,3682860,..,..,..,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Serbia",..,..,89785,83464,90010,92532,99979,105278,106722,105986,105606,101328,101377,102441,105518,108400,106594,..,..,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Slovakia",..,..,70100,72919,74216,75643,81085,83762,89608,91120,92896,94400,91382,89356,84524,79824,74538,68232,63594,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Slovenia",..,..,40171,42129,44421,45029,47343,47784,48356,48322,48087,48428,42182,43959,41483,38663,35810,34236,33798,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Spain",..,..,871543,858721,862526,849597,837234,825575,817146,818747,826395,865648,899560,911887,914834,924801,920220,920094,938407,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Sweden",..,..,146552,155169,167566,173519,172398,170832,165816,161570,168460,184736,189561,182626,175992,174280,186115,173118,172470,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Switzerland",89839,92278,93626,96496,103707,107880,107751,108760,111703,113873,117535,126280,130782,136700,141185,146196,147807,148754,151163,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Tajikistan",..,..,59798,64317,73118,81532,88370,97610,106848,111568,111743,112877,109003,128281,125813,131634,136342,..,..,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Turkey",..,..,649974,681637,749215,1156060,1224432,1350663,1409125,1441722,1649663,1962633,2093484,2375199,2706937,2964442,3276658,3621517,3886107,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Turkmenistan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27299,..,..,..,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Ukraine",..,..,..,..,1060972,1153111,1211448,1273050,1306554,1317016,1285239,1219845,1207137,1141155,1033179,1022209,845993,..,..,781024
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","United Kingdom",..,901733,939743,1002885,1008853,965426,979179,996936,1010392,996455,1039163,1076847,1087832,1091379,1048045,1036225,1021894,1041012,1053298,..
"All fields","All programmes (ISCED11, total of levels 5-8 / ISCED97, total of levels 5 and 6)","Male","Students","Uzbekistan",..,..,179869,192591,204262,212673,157583,166022,170388,179798,179075,173516,170483,162045,164912,163380,163931,164349,165824,178509
